bed,date,var_partial,median_kurt,blowup_rate,n_assets
equity_2005_09_gfc,2008-09-30,0.1359150226729104,2.7796731924733393,0.014388489208633094,417
equity_2005_09_gfc,2008-10-31,0.20383161545149603,4.0776982856940505,0.002398081534772182,417
equity_2005_09_gfc,2008-11-30,0.14438824757616534,2.6120006806919047,0.007194244604316547,417
equity_2005_09_gfc,2008-12-31,0.05989190101234003,1.8028553238181937,0.014388489208633094,417
equity_2005_09_gfc,2009-01-31,0.10757014101729297,1.530088970657765,0.0,417
equity_2005_09_gfc,2009-02-28,0.07417584366053362,1.319211169199149,0.0,417
equity_2005_09_gfc,2009-03-31,0.10628644901835269,1.0847071585983583,0.0,417
equity_2005_09_gfc,2009-04-30,0.09167203581651201,0.8747834714601703,0.0,417
equity_2005_09_gfc,2009-05-31,0.1582807719924789,0.5728752264264623,0.0,417
equity_2005_09_gfc,2009-06-30,0.02870037050269953,0.7341328971587258,0.0,417
